Input Data,Action,Model Task,Model,Framework/Library,Github stars,Normalized Github stars,Citations,Normalized Citations,Open Source/Proprietary,License,Model Size(MB),Model Size Normalized(MB),Memory Requirement(training),Memory Requirement Numeric,Memory Requirement Normalized,Hardware Accelerators,Hardware Accelerators Normalized,Minimum Hardware Accelerators,Detailed Documentation,Institution,Institution Encoded,URL,Paper link,Detailed Documentation Encoded,Overall_Score,Performance_Score,Popularity_Score,Licensing_Score,Hardware_Score,Documentation_Score,Institution_Score
Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,Transformer XL,Tensorflow,3.2,0.043360433604336,1969.0,0.0195959394904458,Open source,Apache-2.0 license,0.115,0.0001099426386233,32-64 GB,48.0,1.0,GPU/TPU,1.0,2.0,Yes,Kimi Young,0.0,https://github.com/kimiyoung/transformer-xl.git,https://arxiv.org/abs/1901.02860,1,0.2817544357959625,0.4999450286806883,0.0338546359587799,0.5,0.0,0.5,0.0
Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,Sequence_tagging,Tensorflow,1.9,0.0257452574525745,2509.0,0.0249701433121019,Open source,Apache-2.0 license,0.056,5.353728489483748e-05,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,No,Guillaume Genthial ,0.0,guillaumegenthial/sequence_tagging: Named Entity Recognition (LSTM + CRF) - Tensorflow (github.com),End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF (aclanthology.org),0,0.4703290117665428,0.9666398980242192,0.0254352117963854,0.5,0.335,0.5,0.0
Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,zh-ner-tf,Tensorflow,2.1,0.0284552845528455,3156.0,0.0314092356687898,Open source,Apache-2.0 license,112.39,0.1074474187380497,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,No,Penghui Wei,0.0,Determined22/zh-NER-TF: A very simple BiLSTM-CRF model for Chinese Named Entity Recognition 中文命名实体识别 (TensorFlow) (github.com),1508.01991v1.pdf (arxiv.org),0,0.4550602601891372,0.912942957297642,0.0296368649992232,0.5,0.335,0.5,0.0
Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,NCRF,PyTorch,1.8,0.024390243902439,164.0,0.0016321656050955,Open source,Apache-2.0 license,7.125,0.0068116634799235,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,No,Jie Yang,0.0,"jiesutd/NCRFpp: NCRF++, a Neural Sequence Labeling Toolkit. Easy use to any sequence labeling tasks (e.g. NER, POS, Segmentation). It includes character LSTM/CNN, word LSTM/CNN and softmax/CRF components. (github.com)",[1806.05626] NCRF++: An Open-source Neural Sequence Labeling Toolkit (arxiv.org),0,0.4672856529947118,0.9632608349267048,0.0152870125835016,0.5,0.335,0.5,0.0
Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,targer,PyTorch,0.2,0.002710027100271,2509.0,0.0249701433121019,Open source,Apache-2.0 license,120.053,0.1147734225621414,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,No,Artem Chernodub,0.0,https://github.com/achernodub/targer.git,End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF (aclanthology.org),0,0.4503568013326794,0.909279955385596,0.0116140735850033,0.5,0.335,0.5,0.0
Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,tf_ner,Tensorflow,0.9,0.0121951219512195,2542.0,0.0252985668789808,Open source,Apache-2.0,0.147,0.0001405353728489,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,Yes,Guillaume Genthial ,0.0,https://github.com/guillaumegenthial/tf_ner.git,https://arxiv.org/abs/1603.01354,1,0.4687162196785374,0.9665963989802422,0.017436499922324,0.5,0.335,0.5,0.0
Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,rnnmorph,?,0.1,0.0013550135501355,434.0,0.0043192675159235,Open source,Apache-2.0,10.806,0.0103307839388145,2-4 GB,3.0,0.0,CPU,0.33,2.0,No,Ilya Gusev,0.0,https://github.com/IlyaGusev/rnnmorph.git,https://arxiv.org/abs/1604.05529,0,0.3737085254364679,0.9948346080305928,0.0025407151364507,0.5,-0.3349999999999999,0.5,0.0
Text,provide answers to questions based on the input data.,Question Answering,BERT_Tensorflow,Tensorflow,0.3,0.0040650406504065,1926.0,0.0191679936305732,Open source,Apache-2.0 license,93.306,0.0892026768642447,16-32 GB,24.0,0.4666666666666667,GPU/TPU,1.0,1.0,Yes,Google,1.0,https://github.com/huggingface/tflite-android-transformers.git,https://arxiv.org/abs/1910.01108,1,0.5186408428388579,0.7220653282345444,0.0101062218424731,0.5,0.5,0.5,1.0
Text,provide answers to questions based on the input data.,Question Answering,RoBERTa,PyTorch,17.2,0.2330623306233062,3595.0,0.0357782643312101,Open source,MIT license,22.259,0.0212801147227533,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,Facebook,1.0,https://github.com/facebookresearch/fairseq.git,https://arxiv.org/abs/1907.11692,1,0.5328877236128806,0.7560266093052901,0.1541487041064677,0.5,0.335,0.5,1.0
Text,provide answers to questions based on the input data.,Question Answering,roberta-base-squad-2,Haystack,4.9,0.0663956639566395,3595.0,0.0357782643312101,Open source,Apache-2.0 license,16.914,0.01617017208413,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,No,deepset ai,1.0,https://github.com/deepset-ai/haystack,https://arxiv.org/abs/1907.11692,0,0.513654215008674,0.7585815806246017,0.0541487041064677,0.5,0.335,0.5,1.0
Text,provide answers to questions based on the input data.,Question Answering,BERT_DeepPavlov,DeepPavlov,5.8,0.078590785907859,43268.0,0.4306130573248408,Open source,Apache-2.0 license,40.068,0.0383059273422562,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,DeepPavlov lab,1.0,deepmipt/DeepPavlov: An open source library for deep learning end-to-end dialog systems and chatbots. (github.com),Unknown,1,0.5433840497935919,0.7475137029955385,0.2193996944746517,0.5,0.335,0.5,1.0
Text,provide answers to questions based on the input data.,Question Answering,Transformers,Paddle,4.6,0.062330623306233,46166.0,0.4594546178343949,Open source,Apache-2.0 license,74.249,0.0709837476099426,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,Paddle,1.0,"PaddlePaddle/PaddleNLP: Easy-to-use and powerful NLP library with Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including Neural Search, Question Answering, Information Extraction and Sentiment Analysis end-to-end system. (github.com)",Unknown,1,0.5388384820820081,0.7311747928616954,0.2211802211174977,0.5,0.335,0.5,1.0
Text,provide answers to questions based on the input data.,Question Answering,ParlAI,PyTorch,8.9,0.1205962059620596,268.0,0.0026671974522292,Open source,MIT license,96.427,0.0921864244741873,8-16 GB,12.0,0.2,GPU,0.67,1.0,Yes,Facebook,1.0,https://github.com/facebookresearch/ParlAI.git,https://arxiv.org/abs/1705.06476,1,0.5461069568404974,0.8539067877629063,0.0734246025581274,0.5,0.335,0.5,1.0
Text,provide answers to questions based on the input data.,Question Answering,haystack,PyTorch,5.0,0.067750677506775,676.0,0.0067277070063694,Open source,Apache-2.0 license,18.494,0.01768068833652,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,deepset ai,1.0,https://github.com/deepset-ai/haystack.git,https://arxiv.org/abs/2004.04906,1,0.5112661946108445,0.7578263224984066,0.0433414893066127,0.5,0.335,0.5,1.0
Text,provide answers to questions based on the input data.,Question Answering,distilbert/distilbert-base-cased-distilled-squad,,,,0.0,,,Unknown,,,,,,,,,,,,https://huggingface.co/distilbert/distilbert-base-cased-distilled-squad,Unknown,0,,,,0.5,,0.5,
Text,provide answers to questions based on the input data.,Question Answering,deepset/bert-large-uncased-whole-word-masking-squad2,,,,0.0,,,Unknown,,,,,,,,,,,,https://huggingface.co/deepset/bert-large-uncased-whole-word-masking-squad2,Unknown,0,,,,0.5,,0.5,
Text, Generate a concise summary of the input text.,Text summarization,Seq2seq with Attention,Tensorflow,0.7,0.0094850948509485,150.0,0.0014928343949044,Open source,MIT license,4.374,0.0041816443594646,8-16 GB,12.0,0.2,GPU,0.67,1.0,Yes,Google,1.0,https://github.com/yaserkl/RLSeq2Seq.git,https://ieeexplore.ieee.org/abstract/document/8801910/,1,0.5458803914797865,0.8979091778202677,0.0062881906685308,0.5,0.335,0.5,1.0
Text, Generate a concise summary of the input text.,Text summarization,Fairseq,PyTorch,17.2,0.2330623306233062,1555.0,0.0154757165605095,Open source,MIT license,22.243,0.0212648183556405,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,Facebook,1.0,https://github.com/facebookresearch/fairseq.git,https://arxiv.org/abs/1904.01038,1,0.5312658142462914,0.7560342574888463,0.1460276849981875,0.5,0.335,0.5,1.0
Text, Generate a concise summary of the input text.,Text summarization,Pegasus,Tensorflow,1.3,0.0176151761517615,610.0,0.0060708598726114,Open source,Apache 2.0 license,0.357,0.0003413001912045,32-64 GB,48.0,1.0,GPU/TPU,1.0,2.0,Yes,Google,1.0,Google AI Blog: PEGASUS: A State-of-the-Art Model for Abstractive Text Summarization (googleblog.com),google-research/pegasus (github.com),1,0.3775482948993396,0.4998293499043977,0.0129974496401014,0.5,0.0,0.5,1.0
Text, Generate a concise summary of the input text.,Text summarization,BigBird,Tensorflow,0.4,0.005420054200542,528.0,0.0052547770700636,Open source,Apache 2.0 license,1.478,0.0014130019120458,32-64 GB,48.0,1.0,GPU/TPU,1.0,2.0,Yes,Google,1.0,google-research/bigbird: Transformers for Longer Sequences (github.com),[2007.14062] Big Bird: Transformers for Longer Sequences (arxiv.org),1,0.3758588383828632,0.4992934990439771,0.0053539433483506,0.5,0.0,0.5,1.0
Text, Generate a concise summary of the input text.,Text summarization,Pointer-Generator network,Tensorflow,2.1,0.0284552845528455,2258.0,0.0224721337579617,Open source,Apache 2.0 license,0.074,7.074569789674952e-05,8-16 GB,12.0,0.2,GPU,0.67,1.0,No,Abi See,0.0,"abisee/pointer-generator: Code for the ACL 2017 paper ""Get To The Point: Summarization with Pointer-Generator Networks"" (github.com)",[1704.04368] Get To The Point: Summarization with Pointer-Generator Networks (arxiv.org),0,0.4504517929922939,0.8999646271510516,0.0260620242348919,0.5,0.335,0.5,0.0
Text, Generate a concise summary of the input text.,Text summarization,tensor2tensor,Tensorflow,12.4,0.1680216802168021,46369.0,0.4614749203821656,Open source,Apache 2.0 license,16.881,0.0161386233269598,16-32 GB,24.0,0.4666666666666667,GPU/TPU,1.0,1.0,No,n.a,0.0,n.a,https://proceedings.neurips.cc/paper/7181-attention-is-all-you-need,0,0.4846598017575456,0.7585973550031868,0.2854029762829475,0.5,0.5,0.5,0.0
Text, Generate a concise summary of the input text.,Text summarization,PaddleNLP,Paddle,4.8,0.065040650406504,2286.0,0.0227507961783439,Open source,Apache-2.0 license,74.543,0.0712648183556405,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,n.a,0.0,https://github.com/PaddlePaddle/PaddleNLP.git,https://proceedings.neurips.cc/paper/7181-attention-is-all-you-need,1,0.4041852189897019,0.7310342574888464,0.0481247087152399,0.5,0.335,0.5,0.0
Text, Generate a concise summary of the input text.,Text summarization,Bert2Bert Small ,Pytorch,6.0,0.08130081300813,100480.0,1.0,Open source,Apache 2.0 license,247,0.2361376673040153,16-32 GB,24.0,0.4666666666666667,GPU,0.67,,No,,,https://huggingface.co/mrm8488/bert-small2bert-small-finetuned-cnn_daily_mail-summarization/tree/main,Unknown,0,,0.648597833014659,0.448780487804878,0.5,,0.5,
Text, Generate a concise summary of the input text.,Text summarization,facebook/bart-large-cnn,,,,0.0,,,Unknown,,,,,,,,,,,,https://huggingface.co/facebook/bart-large-cnn,Unknown,0,,,,0.5,,0.5,
Text, Generate a concise summary of the input text.,Text summarization,google/pegasus-cnn_dailymail,,,,0.0,,,Unknown,,,,,,,,,,,,https://huggingface.co/google/pegasus-cnn_dailymail,Unknown,0,,,,0.5,,0.5,
Text, Generate a concise summary of the input text.,Text summarization,google/pegasus-xsum,,,,0.0,,,Unknown,,,,,,,,,,,,https://huggingface.co/google/pegasus-xsum,Unknown,0,,,,0.5,,0.5,
Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,BERT,Tensorflow,73.8,1.0,40855.0,0.4065983280254777,Open source,Apache-2.0 license,594.238,0.5681051625239006,16-32 GB,24.0,0.4666666666666667,GPU/TPU,1.0,1.0,Yes,Google,1.0,https://github.com/tensorflow/models.git,https://arxiv.org/abs/1810.04805,1,0.5973120918634531,0.4826140854047163,0.7626393312101911,0.5,0.5,0.5,1.0
Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,TextCNN,Gluon,2.6,0.035230352303523,1098.0,0.0109275477707006,Open source,Apache-2.0 license,135,0.1290630975143403,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,Yes,n.a,0.0,Unknown,Unknown,1,0.4509923814709277,0.9021351179094964,0.025509230490394,0.5,0.335,0.5,0.0
Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,Universal Language Model Fine-tuning for Text Classification,PyTorch,22.4,0.3035230352303523,2676.0,0.0266321656050955,Open source,Apache-2.0 license,784.379,0.7498843212237094,8-16 GB,12.0,0.2,GPU,0.67,1.0,Yes,Fast ai,1.0,https://github.com/fastai/fastai.git,https://arxiv.org/abs/1801.06146,1,0.4713206892924935,0.5250578393881453,0.1927666873802495,0.5,0.335,0.5,1.0
Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,Convolutional Neural Networks for Sentence Classification,Paddle,4.4,0.059620596205962,49.0,0.0004876592356687,Open source,Apache-2.0 license,72.294,0.069114722753346,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,Yes,Paddle,1.0,https://github.com/PaddlePaddle/PaddleNLP.git,https://uwspace.uwaterloo.ca/handle/10012/9592,1,0.5620762758705671,0.9321093052899936,0.0359674214178446,0.5,0.335,0.5,1.0
Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,pyText,PyTorch,6.3,0.0853658536585365,14249.0,0.1418093152866242,,BSD,8.162,0.0078030592734225,8-16 GB,12.0,0.2,GPU,0.67,1.0,,Facebook,1.0,facebookresearch/pytext: A natural language modeling framework based on PyTorch (github.com),https://arxiv.org/abs/1408.5882,0,0.5656681887709409,0.8960984703632888,0.1079432383097715,0.5,0.335,0.5,1.0
Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,mt-dnn,PyTorch,2.0,0.02710027100271,156.0,0.0015525477707006,Open source,MIT,2.053,0.0019627151051625,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,Namisan,0.0,https://arxiv.org/abs/1911.03437,https://arxiv.org/abs/1911.03437,1,0.4083318290762068,0.7656853091140854,0.0168811817099062,0.5,0.335,0.5,0.0
Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,DeBERTa,PyTorch,1.0,0.013550135501355,414.0,0.0041202229299363,Open source,MIT,0.333,0.0003183556405353,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,Microsoft,1.0,https://github.com/microsoft/DeBERTa.git,https://arxiv.org/abs/2006.03654,1,0.5071578807484772,0.766507488846399,0.0097781704727875,0.5,0.335,0.5,1.0
Text,assign a category or class to the input document based on its content.,Document Classification,Graph Attention Networks_Tensorflow,Tensorflow,0.2,0.002710027100271,68.0,0.0006767515923566,Open source,Apache-2.0,5.319,0.005085086042065,8-16 GB,12.0,0.2,GPU,0.67,1.0,Yes,Petar Veličković,0.0,PetarV-/GAT: Graph Attention Networks (https://arxiv.org/abs/1710.10903) (github.com),https://dl.acm.org/doi/abs/10.1145/3308558.3313461,1,0.4448665804731113,0.8974574569789675,0.0018967168971052,0.5,0.335,0.5,0.0
Text,assign a category or class to the input document based on its content.,Document Classification,Hierarchical Attention Networks for Document Classification,PyTorch,0.6,0.008130081300813,4233.0,0.0421277866242038,Open source,Apache-2.1,0.239,0.0002284894837476,8-16 GB,12.0,0.2,GPU,0.67,1.0,No,EDGE,1.0,https://github.com/EdGENetworks/attention-networks-for-classification.git,Unknown,0,0.5495615592634717,0.8998857552581262,0.0217291634301693,0.5,0.335,0.5,1.0
Text,assign a category or class to the input document based on its content.,Document Classification,Graph Attention Networks_PyTorch,PyTorch,1.7,0.0230352303523035,3710.0,0.0369227707006369,Open source,Apache-2.0,18.378,0.0175697896749522,8-16 GB,12.0,0.2,GPU,0.67,1.0,Yes,Diego Antognini,0.0,"gordicaleksa/pytorch-GAT: My implementation of the original GAT paper (Veličković et al.). I've additionally included the playground.py file for visualizing the Cora dataset, GAT embeddings, an attention mechanism, and entropy histograms. I've supported both Cora (transductive) and PPI (inductive) examples! (github.com)",https://arxiv.org/abs/1710.10903,1,0.4483325808470845,0.8912151051625239,0.0285902464916368,0.5,0.335,0.5,0.0
Text,assign a category or class to the input document based on its content.,Document Classification,Graph Convolutional Networks,Tensorflow ,6.4,0.0867208672086721,1230.0,0.0122412420382165,Open source,MIT,5.208,0.0049789674952198,8-16 GB,12.0,0.2,GPU,0.67,1.0,No,Thomas Kipf,0.0,https://github.com/tkipf/gcn,https://arxiv.org/abs/1603.08861,0,0.455888958303815,0.8975105162523902,0.0569290171404898,0.5,0.335,0.5,0.0
Text,assign a category or class to the input document based on its content.,Document Classification,Specter,PyTorch,0.3,0.0040650406504065,117.0,0.0011644108280254,Open source,Apache-2.0,0.295,0.0002820267686424,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,No,Allen AI,1.0,allenai/specter: SPECTER: Document-level Representation Learning using Citation-informed Transformers (github.com),https://arxiv.org/abs/2004.07180,0,0.5057886537289944,0.7665256532823455,0.002904788721454,0.5,0.335,0.5,1.0
Text,assign a category or class to the input document based on its content.,Document Classification,DocBert,PyTorch,0.5,0.0067750677506775,235.0,0.0023387738853503,Open source,Apache-2.0,24.471,0.0233948374760994,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,No,Castorini,1.0,castorini/hedwig: PyTorch deep learning models for document classification (github.com),https://arxiv.org/abs/1904.08398,0,0.5027408844194944,0.754969247928617,0.0050005502045466,0.5,0.335,0.5,1.0
Text,assign a category or class to the input document based on its content.,Document Classification,GloVe,?,6.0,0.08130081300813,28966.0,0.2882762738853503,Open source,Apache-2.0,0.223,0.0002131931166347,2-4 GB,3.0,0.0,CPU,0.33,8.0,Yes,Stanford,1.0,https://github.com/stanfordnlp/GloVe.git,https://aclanthology.org/D14-1162.pdf,1,0.0575362205043085,0.9998934034416826,0.1640909973590181,0.5,-3.335,0.5,1.0
Text,"generate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,SeqGAN,Tensorflow,2.0,0.02710027100271,1937.0,0.0192774681528662,Open source,MIT license,4.215,0.004029636711281,8-16 GB,12.0,0.2,GPU,0.67,1.0,Yes,Lantao Yu,0.0,https://github.com/LantaoYu/SeqGAN.git,https://ojs.aaai.org/index.php/AAAI/article/view/10804,1,0.4494397844658624,0.8979851816443596,0.0239711498627724,0.5,0.335,0.5,0.0
Text,"generate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,BART,PyTorch,64.5,0.8739837398373984,2554.0,0.0254179936305732,Open source,Apache-2.0 license,92.707,0.0886300191204588,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,Huggingface,1.0,https://github.com/huggingface/transformers.git,https://arxiv.org/abs/1910.13461,1,0.5988669854028649,0.7223516571064372,0.5345574413546683,0.5,0.335,0.5,1.0
Text,"generate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,Char-rnn-tensorflow,Tensorflow,2.6,0.035230352303523,3936.0,0.0391719745222929,Open source,MIT license,0.508,0.0004856596558317,4-8 GB,6.0,0.0666666666666666,GPU,0.67,1.0,No,Sherjil Ozair,0.0,"sherjilozair/char-rnn-tensorflow: Multi-layer Recurrent Neural Networks (LSTM, RNN) for character-level language models in Python using Tensorflow (github.com)",https://arxiv.org/abs/1308.0850,0,0.4725385512898314,0.9664238368387508,0.0368070011910309,0.5,0.335,0.5,0.0
Text,"generate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,Transformers,PyTorch,65.3,0.8848238482384824,46166.0,0.4594546178343949,Open source,Apache-2.0 license,94.573,0.0904139579349904,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,HuggingFace,1.0,"huggingface/transformers: 🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX. (github.com)",https://arxiv.org/pdf/1910.03771v5.pdf,1,0.6346231375251209,0.7214596876991715,0.7146761560768474,0.5,0.335,0.5,1.0
Text,"generate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,Unified Language Model Pre-Training,PyTorch,5.8,0.078590785907859,789.0,0.0078523089171974,Open source,MIT license,11.637,0.0111252390057361,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,No,Microsoft,1.0,"microsoft/unilm: Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities (github.com)",https://proceedings.neurips.cc/paper/2019/hash/c20bb2d9a50d5ac1f713f8b34d9aac5a-Abstract.html,0,0.5136402931714584,0.7611040471637986,0.0502953951115943,0.5,0.335,0.5,1.0
Text,"generate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,neuraltalk2,PyTorch,5.3,0.0718157181571815,0.0,0.0,Open source,BSD licensed,0.37,0.0003537284894837,8-16 GB,12.0,0.2,GPU,0.67,1.0,Yes,Karpathy,0.0,https://github.com/karpathy/neuraltalk2.git,Unknown,1,0.4538148269054392,0.8998231357552582,0.0430894308943089,0.5,0.335,0.5,0.0
Text,"generate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,fairseq,PyTorch,18.1,0.2452574525745257,1555.0,0.0154757165605095,Open source,MIT license,22.959,0.0219493307839388,16-32 GB,24.0,0.4666666666666667,GPU,0.67,1.0,Yes,Facebook,1.0,https://github.com/facebookresearch/fairseq.git,https://arxiv.org/abs/1610.02424,1,0.532626552016193,0.7556920012746973,0.1533447581689192,0.5,0.335,0.5,1.0
Text,"generate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,deepseek-ai/DeepSeek-V3-0324,,,,0.0,,,Unknown,,,,,,,,,,,,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,Unknown,0,,,,0.5,,0.5,
Text,"generate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,meta-llama/Meta-Llama-3-8B,,,,0.0,,,Unknown,,,,,,,,,,,,https://huggingface.co/meta-llama/Meta-Llama-3-8B,Unknown,0,,,,0.5,,0.5,
